timestamp,pressure,device_id,quality_flag
2025-09-07 10:00:00,1013.25,sensor_003,good
2025-09-07 10:05:00,1013.3,sensor_003,good
2025-09-07 10:10:00,1013.35,sensor_003,good
2025-09-07 10:15:00,1013.4,sensor_003,good
2025-09-07 10:20:00,1013.45,sensor_003,good
2025-09-07 10:25:00,1013.5,sensor_003,good
2025-09-07 10:30:00,1013.55,sensor_003,good
2025-09-07 10:35:00,1013.6,sensor_003,good
2025-09-07 10:40:00,1013.65,sensor_003,good
2025-09-07 10:45:00,1013.7,sensor_003,good
2025-09-07 10:50:00,1013.75,sensor_003,good
2025-09-07 10:55:00,1013.8,sensor_003,good
2025-09-07 11:00:00,1013.85,sensor_003,good
2025-09-07 11:05:00,1013.9,sensor_003,good
2025-09-07 11:10:00,1013.95,sensor_003,good
2025-09-07 11:15:00,1014.0,sensor_003,good
2025-09-07 11:20:00,1014.05,sensor_003,good
2025-09-07 11:25:00,1014.1,sensor_003,good
2025-09-07 11:30:00,1014.15,sensor_003,good
2025-09-07 11:35:00,1014.2,sensor_003,good
2025-09-07 11:40:00,1014.25,sensor_003,good
2025-09-07 11:45:00,1014.3,sensor_003,good
2025-09-07 11:50:00,1014.35,sensor_003,good
2025-09-07 11:55:00,1014.4,sensor_003,good
2025-09-07 12:00:00,1014.45,sensor_003,good
2025-09-07 12:05:00,1014.5,sensor_003,good
2025-09-07 12:10:00,1014.48,sensor_003,good
2025-09-07 12:15:00,1014.46,sensor_003,good
2025-09-07 12:20:00,1014.44,sensor_003,good
2025-09-07 12:25:00,1014.42,sensor_003,good
2025-09-07 12:30:00,1014.4,sensor_003,good
2025-09-07 12:35:00,1014.38,sensor_003,good
2025-09-07 12:40:00,1014.36,sensor_003,good
2025-09-07 12:45:00,1014.34,sensor_003,good
2025-09-07 12:50:00,1014.32,sensor_003,good
2025-09-07 12:55:00,1014.3,sensor_003,good
2025-09-07 13:00:00,1014.28,sensor_003,good
2025-09-07 13:05:00,1014.26,sensor_003,good
2025-09-07 13:10:00,1014.24,sensor_003,good
2025-09-07 13:15:00,1014.22,sensor_003,good
2025-09-07 13:20:00,1014.2,sensor_003,good
2025-09-07 13:25:00,1014.18,sensor_003,good
2025-09-07 13:30:00,1014.16,sensor_003,good
2025-09-07 13:35:00,1014.14,sensor_003,good
2025-09-07 13:40:00,1014.12,sensor_003,good
2025-09-07 13:45:00,1014.1,sensor_003,good
2025-09-07 13:50:00,1014.08,sensor_003,good
2025-09-07 13:55:00,1014.06,sensor_003,good
2025-09-07 14:00:00,1014.04,sensor_003,good
2025-09-07 14:05:00,1014.02,sensor_003,good
