timestamp,humidity,device_id,quality_flag
2025-09-07 10:00:00,65.2,sensor_002,good
2025-09-07 10:05:00,65.5,sensor_002,good
2025-09-07 10:10:00,65.8,sensor_002,good
2025-09-07 10:15:00,66.1,sensor_002,good
2025-09-07 10:20:00,66.4,sensor_002,good
2025-09-07 10:25:00,66.7,sensor_002,good
2025-09-07 10:30:00,67.0,sensor_002,good
2025-09-07 10:35:00,67.3,sensor_002,good
2025-09-07 10:40:00,67.6,sensor_002,good
2025-09-07 10:45:00,67.9,sensor_002,good
2025-09-07 10:50:00,68.2,sensor_002,good
2025-09-07 10:55:00,68.5,sensor_002,good
2025-09-07 11:00:00,68.8,sensor_002,good
2025-09-07 11:05:00,69.1,sensor_002,good
2025-09-07 11:10:00,69.4,sensor_002,good
2025-09-07 11:15:00,69.7,sensor_002,good
2025-09-07 11:20:00,70.0,sensor_002,good
2025-09-07 11:25:00,70.3,sensor_002,good
2025-09-07 11:30:00,70.6,sensor_002,good
2025-09-07 11:35:00,70.9,sensor_002,good
2025-09-07 11:40:00,71.2,sensor_002,good
2025-09-07 11:45:00,71.5,sensor_002,good
2025-09-07 11:50:00,71.8,sensor_002,good
2025-09-07 11:55:00,72.1,sensor_002,good
2025-09-07 12:00:00,72.4,sensor_002,good
2025-09-07 12:05:00,72.7,sensor_002,good
2025-09-07 12:10:00,72.5,sensor_002,good
2025-09-07 12:15:00,72.3,sensor_002,good
2025-09-07 12:20:00,72.1,sensor_002,good
2025-09-07 12:25:00,71.9,sensor_002,good
2025-09-07 12:30:00,71.7,sensor_002,good
2025-09-07 12:35:00,71.5,sensor_002,good
2025-09-07 12:40:00,71.3,sensor_002,good
2025-09-07 12:45:00,71.1,sensor_002,good
2025-09-07 12:50:00,70.9,sensor_002,good
2025-09-07 12:55:00,70.7,sensor_002,good
2025-09-07 13:00:00,70.5,sensor_002,good
2025-09-07 13:05:00,70.3,sensor_002,good
2025-09-07 13:10:00,70.1,sensor_002,good
2025-09-07 13:15:00,69.9,sensor_002,good
2025-09-07 13:20:00,69.7,sensor_002,good
2025-09-07 13:25:00,69.5,sensor_002,good
2025-09-07 13:30:00,69.3,sensor_002,good
2025-09-07 13:35:00,69.1,sensor_002,good
2025-09-07 13:40:00,68.9,sensor_002,good
2025-09-07 13:45:00,68.7,sensor_002,good
2025-09-07 13:50:00,68.5,sensor_002,good
2025-09-07 13:55:00,68.3,sensor_002,good
2025-09-07 14:00:00,68.1,sensor_002,good
2025-09-07 14:05:00,67.9,sensor_002,good
