timestamp,temperature,device_id,quality_flag
2025-09-07 10:00:00,22.5,sensor_001,good
2025-09-07 10:05:00,22.8,sensor_001,good
2025-09-07 10:10:00,23.1,sensor_001,good
2025-09-07 10:15:00,23.4,sensor_001,good
2025-09-07 10:20:00,23.7,sensor_001,good
2025-09-07 10:25:00,24.0,sensor_001,good
2025-09-07 10:30:00,24.3,sensor_001,good
2025-09-07 10:35:00,24.6,sensor_001,good
2025-09-07 10:40:00,24.9,sensor_001,good
2025-09-07 10:45:00,25.2,sensor_001,good
2025-09-07 10:50:00,25.5,sensor_001,good
2025-09-07 10:55:00,25.8,sensor_001,good
2025-09-07 11:00:00,26.1,sensor_001,good
2025-09-07 11:05:00,26.4,sensor_001,good
2025-09-07 11:10:00,26.7,sensor_001,good
2025-09-07 11:15:00,27.0,sensor_001,good
2025-09-07 11:20:00,27.3,sensor_001,good
2025-09-07 11:25:00,27.6,sensor_001,good
2025-09-07 11:30:00,27.9,sensor_001,good
2025-09-07 11:35:00,28.2,sensor_001,good
2025-09-07 11:40:00,28.5,sensor_001,good
2025-09-07 11:45:00,28.8,sensor_001,good
2025-09-07 11:50:00,29.1,sensor_001,good
2025-09-07 11:55:00,29.4,sensor_001,good
2025-09-07 12:00:00,29.7,sensor_001,good
2025-09-07 12:05:00,30.0,sensor_001,good
2025-09-07 12:10:00,29.8,sensor_001,good
2025-09-07 12:15:00,29.6,sensor_001,good
2025-09-07 12:20:00,29.4,sensor_001,good
2025-09-07 12:25:00,29.2,sensor_001,good
2025-09-07 12:30:00,29.0,sensor_001,good
2025-09-07 12:35:00,28.8,sensor_001,good
2025-09-07 12:40:00,28.6,sensor_001,good
2025-09-07 12:45:00,28.4,sensor_001,good
2025-09-07 12:50:00,28.2,sensor_001,good
2025-09-07 12:55:00,28.0,sensor_001,good
2025-09-07 13:00:00,27.8,sensor_001,good
2025-09-07 13:05:00,27.6,sensor_001,good
2025-09-07 13:10:00,27.4,sensor_001,good
2025-09-07 13:15:00,27.2,sensor_001,good
2025-09-07 13:20:00,27.0,sensor_001,good
2025-09-07 13:25:00,26.8,sensor_001,good
2025-09-07 13:30:00,26.6,sensor_001,good
2025-09-07 13:35:00,26.4,sensor_001,good
2025-09-07 13:40:00,26.2,sensor_001,good
2025-09-07 13:45:00,26.0,sensor_001,good
2025-09-07 13:50:00,25.8,sensor_001,good
2025-09-07 13:55:00,25.6,sensor_001,good
2025-09-07 14:00:00,25.4,sensor_001,good
2025-09-07 14:05:00,25.2,sensor_001,good
