timestamp,temperature,humidity,pressure,device_id,quality_flag
2025-09-06T09:15:55.938809,21.2,55.7,1002.38,test_sensor_001,good
2025-09-06T09:25:55.938809,20.9,60.3,1010.19,test_sensor_001,good
2025-09-06T09:35:55.938809,19.3,64.0,1017.13,test_sensor_001,good
2025-09-06T09:45:55.938809,20.1,55.5,1015.23,test_sensor_001,good
2025-09-06T09:55:55.938809,19.3,56.8,1020.75,test_sensor_001,good
2025-09-06T10:05:55.938809,18.9,63.7,1022.39,test_sensor_001,good
2025-09-06T10:15:55.938809,20.3,63.6,1022.93,test_sensor_001,good
2025-09-06T10:25:55.938809,19.5,59.4,1007.46,test_sensor_001,good
2025-09-06T10:35:55.938809,22.1,65.8,1005.33,test_sensor_001,good
2025-09-06T10:45:55.938809,21.7,65.4,1011.58,test_sensor_001,good
2025-09-06T10:55:55.938809,21.9,63.4,1014.41,test_sensor_001,good
2025-09-06T11:05:55.938809,20.6,65.4,1012.37,test_sensor_001,good
2025-09-06T11:15:55.938809,19.1,58.6,1016.08,test_sensor_001,good
2025-09-06T11:25:55.938809,22.1,57.1,1013.21,test_sensor_001,good
2025-09-06T11:35:55.938809,20.9,59.8,1020.16,test_sensor_001,good
2025-09-06T11:45:55.938809,20.5,57.9,1004.85,test_sensor_001,good
2025-09-06T11:55:55.938809,22.7,60.9,1021.24,test_sensor_001,good
2025-09-06T12:05:55.938809,21.5,64.2,1014.78,test_sensor_001,good
2025-09-06T12:15:55.938809,23.2,63.2,1017.33,test_sensor_001,good
2025-09-06T12:25:55.938809,19.6,65.2,1016.13,test_sensor_001,good
2025-09-06T12:35:55.938809,19.7,58.9,1018.07,test_sensor_001,good
2025-09-06T12:45:55.938809,22.3,61.0,1012.37,test_sensor_001,good
2025-09-06T12:55:55.938809,21.8,60.3,1006.55,test_sensor_001,good
2025-09-06T13:05:55.938809,20.1,64.7,1008.73,test_sensor_001,good
2025-09-06T13:15:55.938809,22.2,62.3,1007.44,test_sensor_001,good
2025-09-06T13:25:55.938809,22.7,62.7,1024.17,test_sensor_001,good
2025-09-06T13:35:55.938809,19.9,64.4,1009.4,test_sensor_001,good
2025-09-06T13:45:55.938809,22.9,60.1,1004.2,test_sensor_001,good
2025-09-06T13:55:55.938809,23.9,63.0,1008.64,test_sensor_001,good
2025-09-06T14:05:55.938809,23.6,60.4,1003.67,test_sensor_001,good
2025-09-06T14:15:55.938809,20.2,66.1,1010.23,test_sensor_001,good
2025-09-06T14:25:55.938809,22.7,66.0,1006.84,test_sensor_001,good
2025-09-06T14:35:55.938809,21.3,65.1,1018.44,test_sensor_001,good
2025-09-06T14:45:55.938809,20.8,61.5,1009.99,test_sensor_001,good
