dish_id,name,category,price,cooking_time
1,Braised Beef,Chuan Cuisine,58.0,45
2,Mapo Tofu,Chuan Cuisine,22.0,10
3,Test Dish A,Test Category,50.0,10
4,Test Dish A,Test Category,50.0,10
5,Spicy Crab,Seafood,128.0,35
6,Garlic Vermicelli Scallops,Seafood,78.0,25
7,Steamed Perch,River Fresh,88.0,20
8,Test Dish 1,Test Category,10.0,5
9,Test Dish 2,Test Category,10.0,5
10,Test Dish 3,Test Category,10.0,5
11,Test Dish 4,Test Category,10.0,5
12,Test Dish 5,Test Category,10.0,5
13,Test Dish 6,Test Category,10.0,5
14,Test Dish 7,Test Category,10.0,5
15,Test Dish 8,Test Category,10.0,5
16,Test Dish 9,Test Category,10.0,5
17,Test Dish 10,Test Category,10.0,5
18,Test Dish 11,Test Category,10.0,5
19,Test Dish 12,Test Category,10.0,5
20,Test Dish 13,Test Category,10.0,5
21,Test Dish 14,Test Category,10.0,5
22,Test Dish 15,Test Category,10.0,5
23,Test Dish 16,Test Category,10.0,5
24,Test Dish 17,Test Category,10.0,5
25,Test Dish 18,Test Category,10.0,5
26,Test Dish 19,Test Category,10.0,5
27,Test Dish 20,Test Category,10.0,5
28,Test Dish 21,Test Category,10.0,5
29,Test Dish 22,Test Category,10.0,5
30,Test Dish 23,Test Category,10.0,5
31,Test Dish 24,Test Category,10.0,5
32,Test Dish 25,Test Category,10.0,5
33,Test Dish 26,Test Category,10.0,5
34,Test Dish 27,Test Category,10.0,5
35,Test Dish 28,Test Category,10.0,5
36,Test Dish 29,Test Category,10.0,5
37,Test Dish 30,Test Category,10.0,5
38,Test Dish 31,Test Category,10.0,5
39,Test Dish 32,Test Category,10.0,5
40,Test Dish 33,Test Category,10.0,5
41,Test Dish 34,Test Category,10.0,5
42,Test Dish 35,Test Category,10.0,5
43,Test Dish 36,Test Category,10.0,5
44,Test Dish 37,Test Category,10.0,5
45,Test Dish 38,Test Category,10.0,5
46,Test Dish 39,Test Category,10.0,5
47,Test Dish 40,Test Category,10.0,5
48,Test Dish 41,Test Category,10.0,5
49,Test Dish 42,Test Category,10.0,5
50,Test Dish 43,Test Category,10.0,5
51,Test Dish 44,Test Category,10.0,5
52,Test Dish 45,Test Category,10.0,5
53,Test Dish 46,Test Category,10.0,5
54,Test Dish 47,Test Category,10.0,5
55,Test Dish 48,Test Category,10.0,5
56,Test Dish 49,Test Category,10.0,5
57,Test Dish 50,Test Category,10.0,5
58,Test Dish 51,Test Category,10.0,5
59,Test Dish 52,Test Category,10.0,5
60,Test Dish 53,Test Category,10.0,5
61,Test Dish 54,Test Category,10.0,5
62,Test Dish 55,Test Category,10.0,5
63,Test Dish 56,Test Category,10.0,5
64,Test Dish 57,Test Category,10.0,5
65,Test Dish 58,Test Category,10.0,5
66,Test Dish 59,Test Category,10.0,5
67,Test Dish 60,Test Category,10.0,5
68,Test Dish 61,Test Category,10.0,5
69,Test Dish 62,Test Category,10.0,5
70,Test Dish 63,Test Category,10.0,5
71,Test Dish 64,Test Category,10.0,5
72,Test Dish 65,Test Category,10.0,5
73,Test Dish 66,Test Category,10.0,5
74,Test Dish 67,Test Category,10.0,5
75,Test Dish 68,Test Category,10.0,5
76,Test Dish 69,Test Category,10.0,5
77,Test Dish 70,Test Category,10.0,5
78,Test Dish 71,Test Category,10.0,5
79,Test Dish 72,Test Category,10.0,5
80,Test Dish 73,Test Category,10.0,5
81,Test Dish 74,Test Category,10.0,5
82,Test Dish 75,Test Category,10.0,5
83,Test Dish 76,Test Category,10.0,5
84,Test Dish 77,Test Category,10.0,5
85,Test Dish 78,Test Category,10.0,5
86,Test Dish 79,Test Category,10.0,5
87,Test Dish 80,Test Category,10.0,5
88,Test Dish 81,Test Category,10.0,5
89,Test Dish 82,Test Category,10.0,5
90,Test Dish 83,Test Category,10.0,5
91,Test Dish 84,Test Category,10.0,5
92,Test Dish 85,Test Category,10.0,5
93,Test Dish 86,Test Category,10.0,5
94,Test Dish 87,Test Category,10.0,5
95,Test Dish 88,Test Category,10.0,5
96,Test Dish 89,Test Category,10.0,5
97,Test Dish 90,Test Category,10.0,5
98,Test Dish 91,Test Category,10.0,5
99,Test Dish 92,Test Category,10.0,5
100,Test Dish 93,Test Category,10.0,5
101,Test Dish 94,Test Category,10.0,5
102,Test Dish 95,Test Category,10.0,5
103,Test Dish 96,Test Category,10.0,5
104,Test Dish 97,Test Category,10.0,5
105,Test Dish 98,Test Category,10.0,5
106,Test Dish 99,Test Category,10.0,5
107,Test Dish 100,Test Category,10.0,5
108,Test Dish 101,Test Category,10.0,5
109,Test Dish 102,Test Category,10.0,5
110,Test Dish 103,Test Category,10.0,5
111,Test Dish 104,Test Category,10.0,5
112,Test Dish 105,Test Category,10.0,5
113,Test Dish 106,Test Category,10.0,5
114,Test Dish 107,Test Category,10.0,5
115,Test Dish 108,Test Category,10.0,5
116,Test Dish 109,Test Category,10.0,5
117,Test Dish 110,Test Category,10.0,5
118,Test Dish 111,Test Category,10.0,5
119,Test Dish 112,Test Category,10.0,5
120,Test Dish 113,Test Category,10.0,5
121,Test Dish 114,Test Category,10.0,5
122,Test Dish 115,Test Category,10.0,5
123,Test Dish 116,Test Category,10.0,5
124,Test Dish 117,Test Category,10.0,5
125,Test Dish 118,Test Category,10.0,5
126,Test Dish 119,Test Category,10.0,5
127,Test Dish 120,Test Category,10.0,5
128,Test Dish 121,Test Category,10.0,5
129,Test Dish 122,Test Category,10.0,5
130,Test Dish 123,Test Category,10.0,5
131,Test Dish 124,Test Category,10.0,5
132,Test Dish 125,Test Category,10.0,5
133,Test Dish 126,Test Category,10.0,5
134,Test Dish 127,Test Category,10.0,5
135,Test Dish 128,Test Category,10.0,5
136,Test Dish 129,Test Category,10.0,5
137,Test Dish 130,Test Category,10.0,5
138,Test Dish 131,Test Category,10.0,5
139,Test Dish 132,Test Category,10.0,5
140,Test Dish 133,Test Category,10.0,5
141,Test Dish 134,Test Category,10.0,5
142,Test Dish 135,Test Category,10.0,5
143,Test Dish 136,Test Category,10.0,5
144,Test Dish 137,Test Category,10.0,5
145,Test Dish 138,Test Category,10.0,5
146,Test Dish 139,Test Category,10.0,5
147,Test Dish 140,Test Category,10.0,5
148,Test Dish 141,Test Category,10.0,5
149,Test Dish 142,Test Category,10.0,5
150,Test Dish 143,Test Category,10.0,5
151,Test Dish 144,Test Category,10.0,5
152,Test Dish 145,Test Category,10.0,5
153,Test Dish 146,Test Category,10.0,5
154,Test Dish 147,Test Category,10.0,5
155,Test Dish 148,Test Category,10.0,5
156,Test Dish 149,Test Category,10.0,5
157,Test Dish 150,Test Category,10.0,5
158,Test Dish 151,Test Category,10.0,5
159,Test Dish 152,Test Category,10.0,5
160,Test Dish 153,Test Category,10.0,5
161,Test Dish 154,Test Category,10.0,5
162,Test Dish 155,Test Category,10.0,5
163,Test Dish 156,Test Category,10.0,5
164,Test Dish 157,Test Category,10.0,5
165,Test Dish 158,Test Category,10.0,5
166,Test Dish 159,Test Category,10.0,5
167,Test Dish 160,Test Category,10.0,5
168,Test Dish 161,Test Category,10.0,5
169,Test Dish 162,Test Category,10.0,5
170,Test Dish 163,Test Category,10.0,5
171,Test Dish 164,Test Category,10.0,5
172,Test Dish 165,Test Category,10.0,5
173,Test Dish 166,Test Category,10.0,5
174,Test Dish 167,Test Category,10.0,5
175,Test Dish 168,Test Category,10.0,5
176,Test Dish 169,Test Category,10.0,5
177,Test Dish 170,Test Category,10.0,5
178,Test Dish 171,Test Category,10.0,5
179,Test Dish 172,Test Category,10.0,5
180,Test Dish 173,Test Category,10.0,5
181,Test Dish 174,Test Category,10.0,5
182,Test Dish 175,Test Category,10.0,5
183,Test Dish 176,Test Category,10.0,5
184,Test Dish 177,Test Category,10.0,5
185,Test Dish 178,Test Category,10.0,5
186,Test Dish 179,Test Category,10.0,5
187,Test Dish 180,Test Category,10.0,5
188,Test Dish 181,Test Category,10.0,5
189,Test Dish 182,Test Category,10.0,5
190,Test Dish 183,Test Category,10.0,5
191,Test Dish 184,Test Category,10.0,5
192,Test Dish 185,Test Category,10.0,5
193,Test Dish 186,Test Category,10.0,5
194,Test Dish 187,Test Category,10.0,5
195,Test Dish 188,Test Category,10.0,5
196,Test Dish 189,Test Category,10.0,5
197,Test Dish 190,Test Category,10.0,5
198,Test Dish 191,Test Category,10.0,5
199,Test Dish 192,Test Category,10.0,5
200,Test Dish 193,Test Category,10.0,5
201,Test Dish 194,Test Category,10.0,5
202,Test Dish 195,Test Category,10.0,5
203,Test Dish 196,Test Category,10.0,5
204,Test Dish 197,Test Category,10.0,5
205,Test Dish 198,Test Category,10.0,5
206,Test Dish 199,Test Category,10.0,5
207,Test Dish 200,Test Category,10.0,5
208,Test Dish 201,Test Category,10.0,5
209,Test Dish 202,Test Category,10.0,5
210,Test Dish 203,Test Category,10.0,5
211,Test Dish 204,Test Category,10.0,5
212,Test Dish 205,Test Category,10.0,5
213,Test Dish 206,Test Category,10.0,5
214,Test Dish 207,Test Category,10.0,5
215,Test Dish 208,Test Category,10.0,5
216,Test Dish 209,Test Category,10.0,5
217,Test Dish 210,Test Category,10.0,5
218,Test Dish 211,Test Category,10.0,5
219,Test Dish 212,Test Category,10.0,5
220,Test Dish 213,Test Category,10.0,5
221,Test Dish 214,Test Category,10.0,5
222,Test Dish 215,Test Category,10.0,5
223,Test Dish 216,Test Category,10.0,5
224,Test Dish 217,Test Category,10.0,5
225,Test Dish 218,Test Category,10.0,5
226,Test Dish 219,Test Category,10.0,5
227,Test Dish 220,Test Category,10.0,5
228,Test Dish 221,Test Category,10.0,5
229,Test Dish 222,Test Category,10.0,5
230,Test Dish 223,Test Category,10.0,5
231,Test Dish 224,Test Category,10.0,5
232,Test Dish 225,Test Category,10.0,5
233,Test Dish 226,Test Category,10.0,5
234,Test Dish 227,Test Category,10.0,5
235,Test Dish 228,Test Category,10.0,5
236,Test Dish 229,Test Category,10.0,5
237,Test Dish 230,Test Category,10.0,5
238,Test Dish 231,Test Category,10.0,5
