param_name,param_value,final_attack_rate,peak_infection,peak_time,R0,attack_rate_change,peak_infection_change,peak_time_change,attack_rate_sensitivity,peak_infection_sensitivity,peak_time_sensitivity
beta,0.01,0.13408053945132214,267.36437460547427,160,2.0,-0.8656784870332104,-0.8968959155226727,1.105263157894737,1.2985177305498157,1.345343873284009,-1.6578947368421055
beta,0.02,0.9811349246330183,1993.3360480350793,104,4.0,-0.017101750630191155,-0.2313071306093797,0.3684210526315789,0.051305251890573465,0.6939213918281392,-1.105263157894737
beta,0.03,0.9982059946307554,2593.150174028923,76,5.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
beta,0.04,0.9998348693312189,2930.1781953550903,62,8.0,0.001631802162304186,0.1299685705446568,-0.18421052631578946,0.004895406486912557,0.3899057116339703,-0.5526315789473683
beta,0.05,0.9999870099705351,3142.888045677105,54,10.0,0.0017842162332821028,0.2119961570887603,-0.2894736842105263,0.0026763243499231533,0.31799423563314033,-0.4342105263157894
gamma,0.05,0.9999979331196746,4384.09582366779,70,11.999999999999998,0.0017951590138285767,0.6906447870145183,-0.07894736842105263,-0.0035903180276571534,-1.3812895740290365,0.15789473684210525
gamma,0.08,0.9996693419234741,3171.2306608605923,73,7.5,0.0014659772638011361,0.22292595801866635,-0.039473684210526314,-0.007329886319005679,-1.1146297900933315,0.19736842105263153
gamma,0.1,0.9982059946307554,2593.150174028923,76,5.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
gamma,0.12,0.9944644620284052,2134.575709093049,79,5.0,-0.0037482569955254986,-0.17684068957078425,0.039473684210526314,-0.018741284977627504,-0.8842034478539217,0.19736842105263167
gamma,0.15,0.9827225593017829,1606.7970139834192,85,4.0,-0.015511262617391925,-0.38036869978610904,0.11842105263157894,-0.031022525234783858,-0.7607373995722183,0.23684210526315794
sigma,0.05,0.997117967276393,1725.821883484807,106,5.999999999999999,-0.0010899827893388779,-0.3344689787851995,0.39473684210526316,0.0021799655786777557,0.668937957570399,-0.7894736842105263
sigma,0.08,0.9980960489864332,2298.733028054655,84,5.999999999999999,-0.00011014324188954273,-0.11353648119685972,0.10526315789473684,0.0005507162094477135,0.5676824059842985,-0.5263157894736841
sigma,0.1,0.9982059946307554,2593.150174028923,76,5.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
sigma,0.12,0.9982738949698927,2840.2346177900527,70,5.999999999999999,6.802237163722938e-05,0.09528350738640005,-0.07894736842105263,0.0003401118581861471,0.4764175369320005,-0.39473684210526333
sigma,0.15,0.9983492782964826,3144.8674658943746,64,5.999999999999999,0.00014354117937363814,0.2127594835775592,-0.15789473684210525,0.0002870823587472763,0.4255189671551185,-0.31578947368421056
