user_id,product_id,rating,timestamp
1,150,1,2023-06-01
1,35,2,2023-06-01
1,158,2,2023-06-01
1,130,5,2023-06-01
1,34,1,2023-06-01
1,108,3,2023-06-01
1,148,3,2023-06-01
1,129,1,2023-06-01
1,7,5,2023-06-01
1,40,3,2023-06-01
1,164,3,2023-06-01
1,143,5,2023-06-01
1,162,2,2023-06-01
1,91,2,2023-06-01
1,70,1,2023-06-01
1,45,3,2023-06-01
1,93,4,2023-06-01
1,71,3,2023-06-01
1,183,5,2023-06-01
2,28,4,2023-06-01
2,129,2,2023-06-01
2,128,3,2023-06-01
2,158,3,2023-06-01
2,181,5,2023-06-01
2,195,2,2023-06-01
2,73,5,2023-06-01
2,45,2,2023-06-01
2,42,4,2023-06-01
2,61,5,2023-06-01
2,78,3,2023-06-01
2,34,3,2023-06-01
2,94,4,2023-06-01
3,84,1,2023-06-01
3,83,2,2023-06-01
3,52,3,2023-06-01
3,147,5,2023-06-01
3,135,4,2023-06-01
3,160,2,2023-06-01
3,166,4,2023-06-01
3,49,1,2023-06-01
3,15,3,2023-06-01
3,16,1,2023-06-01
3,170,5,2023-06-01
4,35,5,2023-06-01
4,38,3,2023-06-01
4,14,5,2023-06-01
4,122,2,2023-06-01
4,142,2,2023-06-01
4,188,4,2023-06-01
4,31,2,2023-06-01
4,134,5,2023-06-01
4,23,1,2023-06-01
4,103,5,2023-06-01
4,133,5,2023-06-01
4,99,1,2023-06-01
4,166,5,2023-06-01
4,48,4,2023-06-01
4,172,2,2023-06-01
4,153,5,2023-06-01
4,197,5,2023-06-01
4,144,1,2023-06-01
4,183,3,2023-06-01
4,83,5,2023-06-01
4,82,3,2023-06-01
4,15,3,2023-06-01
4,92,4,2023-06-01
4,90,5,2023-06-01
4,64,5,2023-06-01
4,114,2,2023-06-01
5,34,3,2023-06-01
5,57,2,2023-06-01
5,87,1,2023-06-01
5,110,5,2023-06-01
5,78,2,2023-06-01
5,19,4,2023-06-01
5,178,2,2023-06-01
5,65,5,2023-06-01
5,176,3,2023-06-01
5,3,4,2023-06-01
5,179,1,2023-06-01
5,162,1,2023-06-01
5,2,1,2023-06-01
5,182,3,2023-06-01
5,16,2,2023-06-01
5,4,3,2023-06-01
5,194,2,2023-06-01
5,73,2,2023-06-01
5,140,5,2023-06-01
6,3,2,2023-06-01
6,88,3,2023-06-01
6,133,2,2023-06-01
6,138,4,2023-06-01
6,50,2,2023-06-01
6,73,2,2023-06-01
6,111,5,2023-06-01
6,20,2,2023-06-01
6,134,3,2023-06-01
6,99,1,2023-06-01
7,33,3,2023-06-01
7,150,5,2023-06-01
7,8,3,2023-06-01
7,44,5,2023-06-01
7,68,3,2023-06-01
7,34,3,2023-06-01
7,145,5,2023-06-01
7,119,4,2023-06-01
7,49,4,2023-06-01
7,103,2,2023-06-01
7,174,2,2023-06-01
8,180,3,2023-06-01
8,92,3,2023-06-01
8,66,1,2023-06-01
8,127,1,2023-06-01
8,89,1,2023-06-01
8,34,5,2023-06-01
8,116,1,2023-06-01
8,15,1,2023-06-01
8,124,4,2023-06-01
8,3,5,2023-06-01
8,156,5,2023-06-01
8,98,3,2023-06-01
8,147,5,2023-06-01
8,45,3,2023-06-01
8,134,3,2023-06-01
9,189,4,2023-06-01
9,9,4,2023-06-01
9,129,5,2023-06-01
9,43,5,2023-06-01
9,92,5,2023-06-01
9,183,3,2023-06-01
9,158,1,2023-06-01
9,107,3,2023-06-01
9,172,5,2023-06-01
9,178,4,2023-06-01
9,80,4,2023-06-01
9,159,3,2023-06-01
9,1,2,2023-06-01
9,21,2,2023-06-01
10,97,5,2023-06-01
10,199,2,2023-06-01
10,45,5,2023-06-01
10,188,4,2023-06-01
10,187,1,2023-06-01
10,51,2,2023-06-01
10,34,3,2023-06-01
10,60,3,2023-06-01
10,132,5,2023-06-01
10,94,2,2023-06-01
10,71,4,2023-06-01
10,173,1,2023-06-01
10,43,1,2023-06-01
11,199,1,2023-06-01
11,89,2,2023-06-01
11,181,5,2023-06-01
11,76,1,2023-06-01
11,38,5,2023-06-01
11,142,4,2023-06-01
11,131,5,2023-06-01
11,107,2,2023-06-01
11,146,4,2023-06-01
11,149,5,2023-06-01
11,145,4,2023-06-01
11,8,2,2023-06-01
11,139,5,2023-06-01
11,180,4,2023-06-01
11,71,1,2023-06-01
11,115,2,2023-06-01
12,126,2,2023-06-01
12,8,3,2023-06-01
12,198,4,2023-06-01
12,65,2,2023-06-01
12,98,4,2023-06-01
12,56,2,2023-06-01
12,102,3,2023-06-01
12,96,2,2023-06-01
12,73,1,2023-06-01
12,1,1,2023-06-01
12,39,4,2023-06-01
12,42,1,2023-06-01
12,80,1,2023-06-01
12,170,3,2023-06-01
12,123,1,2023-06-01
13,87,1,2023-06-01
13,14,1,2023-06-01
13,101,4,2023-06-01
13,125,1,2023-06-01
13,111,5,2023-06-01
13,197,1,2023-06-01
13,35,5,2023-06-01
13,139,2,2023-06-01
13,158,2,2023-06-01
13,168,2,2023-06-01
13,5,4,2023-06-01
13,61,2,2023-06-01
13,109,4,2023-06-01
13,63,5,2023-06-01
14,6,4,2023-06-01
14,16,5,2023-06-01
14,198,2,2023-06-01
14,186,2,2023-06-01
14,164,2,2023-06-01
14,68,5,2023-06-01
14,3,1,2023-06-01
14,189,2,2023-06-01
14,75,1,2023-06-01
14,131,4,2023-06-01
14,147,4,2023-06-01
14,115,3,2023-06-01
14,178,5,2023-06-01
14,101,4,2023-06-01
14,137,1,2023-06-01
14,195,1,2023-06-01
14,9,1,2023-06-01
15,90,5,2023-06-01
15,192,2,2023-06-01
15,198,3,2023-06-01
15,134,2,2023-06-01
15,2,3,2023-06-01
15,78,4,2023-06-01
15,170,4,2023-06-01
15,183,2,2023-06-01
15,17,5,2023-06-01
15,95,4,2023-06-01
15,199,3,2023-06-01
15,167,2,2023-06-01
15,30,3,2023-06-01
15,32,5,2023-06-01
15,58,5,2023-06-01
15,62,2,2023-06-01
15,69,3,2023-06-01
15,125,5,2023-06-01
15,93,5,2023-06-01
15,6,3,2023-06-01
15,113,4,2023-06-01
15,143,3,2023-06-01
15,23,4,2023-06-01
15,151,2,2023-06-01
15,115,2,2023-06-01
15,33,3,2023-06-01
15,41,5,2023-06-01
15,21,2,2023-06-01
16,104,5,2023-06-01
16,105,5,2023-06-01
16,199,1,2023-06-01
16,171,4,2023-06-01
16,192,4,2023-06-01
16,189,2,2023-06-01
16,135,3,2023-06-01
16,197,1,2023-06-01
16,78,2,2023-06-01
16,47,1,2023-06-01
16,94,4,2023-06-01
16,141,1,2023-06-01
16,79,1,2023-06-01
16,49,2,2023-06-01
16,117,2,2023-06-01
16,17,4,2023-06-01
16,196,5,2023-06-01
16,156,4,2023-06-01
16,149,4,2023-06-01
16,30,4,2023-06-01
17,155,1,2023-06-01
17,17,2,2023-06-01
17,84,4,2023-06-01
17,21,2,2023-06-01
17,171,4,2023-06-01
17,178,5,2023-06-01
17,182,3,2023-06-01
17,5,1,2023-06-01
17,164,2,2023-06-01
17,108,4,2023-06-01
17,52,3,2023-06-01
17,181,3,2023-06-01
17,59,3,2023-06-01
17,20,4,2023-06-01
17,128,3,2023-06-01
17,140,5,2023-06-01
17,85,3,2023-06-01
17,143,1,2023-06-01
17,86,1,2023-06-01
17,156,2,2023-06-01
17,76,3,2023-06-01
17,36,2,2023-06-01
18,35,1,2023-06-01
18,184,2,2023-06-01
18,135,1,2023-06-01
18,65,2,2023-06-01
18,53,2,2023-06-01
