product_id,name,category,brand,price,price_range,avg_rating
1,ProductBrand1,Electronics,BrandBrandD,856.58,HighPrice,4.63
2,ProductBrand2,Electronics,BrandBrandE,169.84,LowPrice,3.81
3,ProductBrand3,Clothing,BrandBrandD,243.25,MidPrice,3.54
4,ProductBrand4,Book,BrandBrandA,255.09,MidPrice,4.79
5,ProductBrand5,Book,BrandBrandC,603.01,HighPrice,4.98
6,ProductBrand6,Book,BrandBrandE,863.98,HighPrice,4.28
7,ProductBrand7,Home,BrandBrandA,470.52,MidPrice,3.57
8,ProductBrand8,Sports,BrandBrandD,32.37,LowPrice,3.81
9,ProductBrand9,Clothing,BrandBrandB,63.66,LowPrice,4.12
10,ProductBrand10,Clothing,BrandBrandE,421.02,MidPrice,4.43
11,ProductBrand11,Book,BrandBrandA,576.71,MidPrice,3.35
12,ProductBrand12,Home,BrandBrandA,385.13,MidPrice,3.77
13,ProductBrand13,Electronics,BrandBrandC,935.42,HighPrice,3.06
14,ProductBrand14,Clothing,BrandBrandB,759.34,HighPrice,3.4
15,ProductBrand15,Electronics,BrandBrandC,821.94,HighPrice,3.7
16,ProductBrand16,Sports,BrandBrandE,451.47,MidPrice,3.85
17,ProductBrand17,Book,BrandBrandA,393.24,MidPrice,3.9
18,ProductBrand18,Book,BrandBrandA,763.8,HighPrice,4.78
19,ProductBrand19,Sports,BrandBrandD,983.88,HighPrice,3.78
20,ProductBrand20,Home,BrandBrandE,350.98,MidPrice,4.48
21,ProductBrand21,Home,BrandBrandA,318.1,MidPrice,4.21
22,ProductBrand22,Sports,BrandBrandE,959.88,HighPrice,3.68
23,ProductBrand23,Book,BrandBrandC,127.35,LowPrice,3.88
24,ProductBrand24,Book,BrandBrandB,967.51,HighPrice,4.72
25,ProductBrand25,Clothing,BrandBrandD,247.24,MidPrice,4.44
26,ProductBrand26,Clothing,BrandBrandE,657.46,HighPrice,4.99
27,ProductBrand27,Sports,BrandBrandD,345.92,MidPrice,3.12
28,ProductBrand28,Electronics,BrandBrandC,921.31,HighPrice,4.19
29,ProductBrand29,Home,BrandBrandD,113.8,LowPrice,4.9
30,ProductBrand30,Book,BrandBrandA,305.64,MidPrice,4.1
31,ProductBrand31,Clothing,BrandBrandA,683.31,HighPrice,3.04
32,ProductBrand32,Book,BrandBrandD,581.84,MidPrice,4.84
33,ProductBrand33,Home,BrandBrandB,267.65,MidPrice,4.69
34,ProductBrand34,Sports,BrandBrandA,870.76,HighPrice,3.25
35,ProductBrand35,Electronics,BrandBrandD,76.25,LowPrice,4.23
36,ProductBrand36,Home,BrandBrandB,587.0,MidPrice,4.23
37,ProductBrand37,Sports,BrandBrandA,654.86,HighPrice,3.72
38,ProductBrand38,Sports,BrandBrandE,743.73,HighPrice,3.66
39,ProductBrand39,Home,BrandBrandB,212.08,MidPrice,3.95
40,ProductBrand40,Clothing,BrandBrandB,677.27,HighPrice,4.97
41,ProductBrand41,Sports,BrandBrandA,758.75,HighPrice,4.81
42,ProductBrand42,Sports,BrandBrandE,91.59,LowPrice,4.86
43,ProductBrand43,Clothing,BrandBrandD,110.35,LowPrice,3.17
44,ProductBrand44,Home,BrandBrandD,77.99,LowPrice,4.07
45,ProductBrand45,Electronics,BrandBrandD,695.21,HighPrice,4.05
46,ProductBrand46,Electronics,BrandBrandA,640.22,HighPrice,4.1
47,ProductBrand47,Sports,BrandBrandC,268.13,MidPrice,3.57
48,ProductBrand48,Clothing,BrandBrandE,377.12,MidPrice,3.54
49,ProductBrand49,Home,BrandBrandE,854.67,HighPrice,3.19
50,ProductBrand50,Home,BrandBrandA,926.81,HighPrice,4.3
51,ProductBrand51,Electronics,BrandBrandB,800.43,HighPrice,3.54
52,ProductBrand52,Electronics,BrandBrandB,721.57,HighPrice,3.77
53,ProductBrand53,Home,BrandBrandB,607.93,HighPrice,3.03
54,ProductBrand54,Clothing,BrandBrandC,512.41,MidPrice,4.54
55,ProductBrand55,Clothing,BrandBrandB,198.9,LowPrice,4.35
56,ProductBrand56,Sports,BrandBrandD,92.49,LowPrice,4.19
57,ProductBrand57,Clothing,BrandBrandC,613.17,HighPrice,4.05
58,ProductBrand58,Sports,BrandBrandA,174.6,LowPrice,3.3
59,ProductBrand59,Book,BrandBrandA,15.81,LowPrice,4.34
60,ProductBrand60,Home,BrandBrandC,344.78,MidPrice,4.8
61,ProductBrand61,Clothing,BrandBrandC,627.39,HighPrice,4.11
62,ProductBrand62,Sports,BrandBrandB,596.36,MidPrice,4.56
63,ProductBrand63,Home,BrandBrandD,673.38,HighPrice,3.2
64,ProductBrand64,Sports,BrandBrandB,948.45,HighPrice,5.0
65,ProductBrand65,Electronics,BrandBrandD,168.46,LowPrice,4.9
66,ProductBrand66,Electronics,BrandBrandD,810.35,HighPrice,3.3
67,ProductBrand67,Book,BrandBrandE,382.54,MidPrice,4.37
68,ProductBrand68,Sports,BrandBrandD,283.36,MidPrice,3.88
69,ProductBrand69,Book,BrandBrandB,253.92,MidPrice,4.66
70,ProductBrand70,Home,BrandBrandA,710.08,HighPrice,4.64
71,ProductBrand71,Home,BrandBrandD,905.97,HighPrice,3.48
72,ProductBrand72,Home,BrandBrandB,523.22,MidPrice,3.78
73,ProductBrand73,Clothing,BrandBrandA,715.76,HighPrice,4.5
74,ProductBrand74,Home,BrandBrandD,57.71,LowPrice,3.4
75,ProductBrand75,Clothing,BrandBrandA,415.85,MidPrice,3.37
76,ProductBrand76,Clothing,BrandBrandA,979.83,HighPrice,3.23
77,ProductBrand77,Book,BrandBrandB,647.76,HighPrice,4.5
78,ProductBrand78,Clothing,BrandBrandC,791.88,HighPrice,3.94
